uID,variable,factor,.id,source,haus1.1,haus1.1t_1,haus2.1,haus2.1t_1,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
565,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,1,28.859,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Alter|Critcher|Inbar|VanLange|Anderson|Bauer|Kay|Miyamoto|Ross.Slate1|Rottenstrich|Graham,ID: Mood|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing,1,Order,all,TRUE
599,No,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,2,50.415,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Ross.Slate1|Graham|Huang|Inbar|Critcher|Rottenstrich|Kay|Bauer|Miyamoto|Anderson|Alter,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Cognitive reflection,1,Order,all,TRUE
625,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,1,72.677,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Alter|Bauer|Huang|VanLange|Rottenstrich|Miyamoto|Kay|Graham|Anderson|Critcher|Inbar,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
628,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,1,36.423,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Kay|Bauer|Rottenstrich|Ross.Slate1|Alter|Critcher|Miyamoto|Graham|Anderson|Huang|Inbar,ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
659,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,1,11.25,,,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|VanLange|Alter|Ross.Slate1|Kay|Inbar|Huang|Rottenstrich|Critcher|Miyamoto|Bauer|Anderson,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
667,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubctab,1,30.639,,,ubc,ubc,ubctab,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Critcher|Rottenstrich|Kay|Graham|Inbar|Bauer|Alter|Ross.Slate1|Huang|VanLange|Anderson,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
669,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,1,28.636,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Critcher|Inbar|Rottenstrich|Bauer|Alter|Anderson|Kay|Graham|Ross.Slate1|VanLange|Miyamoto,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
678,No,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,toronto,2,45.006,,,toronto,toronto,toronto,Canada,"University of Toronto, Scarborough",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Alter|Huang|Bauer|Rottenstrich|Graham|Kay|Miyamoto|Inbar|Ross.Slate1|Critcher|Anderson,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE,1,Order,all,TRUE
701,Yes,SideEffect,ML2_Slate1_CanadaEng_Inlab_execution_illegal_DEPLOY_r.csv,ubc,1,29.838,,,ubc,ubc,ubc,Canada,"University of British Columbia, Vancouver, Canada",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Inbar|Anderson|VanLange|Kay|Miyamoto|Bauer|Alter|Rottenstrich|Critcher|Graham|Huang,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,1,Order,all,TRUE
822,No,SideEffect,ML2_Slate1_Chinese_Inlab_execution_illegal_DEPLOY__Hong_Kong_r.csv,hkust,2,44.601,,,hkust,hkust,hkust,"Hong Kong, China","Division of Social Science, The Hong Kong University of Science and Technology, Hong Kong, China",Chinese (traditional),0,illegal,Yes,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Inbar|Ross.Slate1|Anderson|Alter|Rottenstrich|Bauer|Miyamoto|Graham|Huang|Critcher|Kay|VanLange,ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Order,all,TRUE
873,Yes,SideEffect,ML2_Slate1_Chinese_Inlab_execution_illegal_DEPLOY__Hong_Kong_r.csv,hkusttab,1,29.603,,,hkust,hkust,hkusttab,"Hong Kong, China","Division of Social Science, The Hong Kong University of Science and Technology, Hong Kong, China",Chinese (traditional),0,illegal,No,Other (please indicate),Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|VanLange|Bauer|Ross.Slate1|Rottenstrich|Miyamoto|Anderson|Graham|Alter|Critcher|Kay|Inbar,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing,1,Order,all,TRUE
877,No,SideEffect,ML2_Slate1_Chinese_Inlab_execution_illegal_DEPLOY__Hong_Kong_r.csv,hkusttab,2,36.892,,,hkust,hkust,hkusttab,"Hong Kong, China","Division of Social Science, The Hong Kong University of Science and Technology, Hong Kong, China",Chinese (traditional),0,illegal,No,Other (please indicate),Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Anderson|Critcher|Rottenstrich|Kay|Inbar|Ross.Slate1|Bauer|Miyamoto|VanLange|Graham|Alter|Huang,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
890,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,cas,1,17.786,,,cas,cas,cas,China,"Chinese Academy of Science, Beijing, China",Chinese (simplified),0,legal,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Huang|Alter|Rottenstrich|VanLange|Kay|Inbar|Critcher|Graham|Anderson|Miyamoto|Ross.Slate1,ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing,1,Order,all,TRUE
915,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,castab,1,65.296,,,cas,cas,castab,China,"Chinese Academy of Science, Beijing, China",Chinese (simplified),0,legal,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Alter|Bauer|Huang|Inbar|Anderson|Graham|Ross.Slate1|VanLange|Rottenstrich|Kay|Critcher,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
951,No,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,cas,2,68.071,,,cas,cas,cas,China,"Chinese Academy of Science, Beijing, China",Chinese (simplified),0,legal,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Inbar|Kay|Anderson|Graham|Ross.Slate1|Huang|Bauer|Critcher|Alter|Miyamoto|VanLange,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
991,No,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,castab,2,34.051,,,cas,cas,castab,China,"Chinese Academy of Science, Beijing, China",Chinese (simplified),0,legal,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|VanLange|Miyamoto|Anderson|Huang|Ross.Slate1|Graham|Rottenstrich|Inbar|Critcher|Kay|Alter,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
1029,No,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,zhejiang,2,64.626,,,zhejiang,zhejiang,zhejiang,China,"Shanghai International Studies University, SISU Intercultural Institute, Shanghai, China",Chinese (simplified),0,legal,Yes,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Miyamoto|Ross.Slate1|VanLange|Bauer|Alter|Graham|Anderson|Kay|Huang|Inbar|Critcher,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,1,Order,all,TRUE
1034,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,zhejiang,1,13.766,,,zhejiang,zhejiang,zhejiang,China,"Shanghai International Studies University, SISU Intercultural Institute, Shanghai, China",Chinese (simplified),0,legal,Yes,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Anderson|Critcher|Kay|Miyamoto|Inbar|Ross.Slate1|Huang|VanLange|Alter|Graham|Rottenstrich,ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
1043,No,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,zhejiang,2,30.254,,,zhejiang,zhejiang,zhejiang,China,"Shanghai International Studies University, SISU Intercultural Institute, Shanghai, China",Chinese (simplified),0,legal,Yes,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Anderson|Critcher|Ross.Slate1|Inbar|Huang|VanLange|Rottenstrich|Kay|Graham|Miyamoto|Alter,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
1044,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,zhejiang,1,47.105,,,zhejiang,zhejiang,zhejiang,China,"Shanghai International Studies University, SISU Intercultural Institute, Shanghai, China",Chinese (simplified),0,legal,Yes,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Alter|Critcher|Kay|Huang|Graham|VanLange|Miyamoto|Anderson|Inbar|Bauer|Rottenstrich,ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
1094,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,zhejiang,1,18.419,,,zhejiang,zhejiang,zhejiang,China,"Shanghai International Studies University, SISU Intercultural Institute, Shanghai, China",Chinese (simplified),0,legal,Yes,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Kay|Inbar|Huang|VanLange|Rottenstrich|Critcher|Alter|Miyamoto|Anderson|Ross.Slate1|Graham|Bauer,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing,1,Order,all,TRUE
1142,Yes,SideEffect,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r.csv,hunancomp,1,26.034,,,hunancomp,hunancomp,hunancomp,China,"Guangdong Literature & Art Vocational College, Guangzhou, China",Chinese (simplified),0,legal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Anderson|Critcher|Kay|Huang|Inbar|Ross.Slate1|Graham|VanLange|Alter|Bauer|Miyamoto|Rottenstrich,ID: Mood|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,1,Order,all,TRUE
